2009,12,11176
2009,1,34791
2009,6,36944
2009,3,38405
2009,5,38556
2009,9,37202
2009,4,37119
2009,8,38372
2009,7,38442
2009,10,38406
2009,11,37380
2009,2,34748
2010,12,13469
2010,1,34167
2010,6,37245
2010,3,38212
2010,5,38083
2010,9,36915
2010,4,37358
2010,8,38207
2010,7,38173
2010,10,38173
2010,11,36882
2010,2,34657
2011,1,28970
2011,6,39370
2011,3,40955
2011,5,40955
2011,9,39547
2011,4,39302
2011,8,41099
2011,7,41012
2011,10,40788
2011,11,32680
2011,2,36863
2012,1,41752
2012,6,42334
2012,3,43338
2012,5,43949
2012,9,42209
2012,4,42346
2012,8,43139
2012,7,43737
2012,10,37909
2012,2,40828
